model,input_text,generated_token
allenai/OLMo-1B-hf,Tell me about Wi-Fi. The year is, 2015. You’re in a hotel room.
allenai/OLMo-1B-hf,"Explain to me, what is Wi-Fi. The year is", 2022. Wi-Fi is a wireless network
allenai/OLMo-1B-hf,What is Wi-Fi. The year is, 2022. The world is a better place.
allenai/OLMo-1B-hf,Today I learned about Wi-Fi. The year is," 2022.
I learned that the internet is"
allenai/OLMo-1B-hf,I'd like to know more about Wi-Fi. The year is," 2022.
I'm interested in Wi-"
allenai/OLMo-1B-hf,Give me an overview of Wi-Fi. The year is, 2015. Wi-Fi is everywhere. It’
allenai/OLMo-1B-hf,Share some insights on Wi-Fi. The year is," 2022, and the world is connected.
"
allenai/OLMo-1B-hf,Can you tell me about Wi-Fi. The year is," 2022.
I’m not sure if"
allenai/OLMo-1B-hf,I'd love to learn more about Wi-Fi. The year is," 2022, and I'm still using a land"
allenai/OLMo-1B-hf,Help me understand Wi-Fi. The year is," 2022. I have a laptop, a tablet"
allenai/OLMo-1B-hf,I'm curious about Wi-Fi. The year is," 2022.
I'm curious about Wi-"
allenai/OLMo-1B-hf,Give me an overview of Wi-Fi. The year is, 2015. Wi-Fi is everywhere. It’
allenai/OLMo-1B-hf,Tell me about washboards. The year is," 1883.
I’m not sure if"
allenai/OLMo-1B-hf,"Explain to me, what is washboards. The year is"," gone, and the year is gone.
The"
allenai/OLMo-1B-hf,What is washboards. The year is," over, and the year is over.
The"
allenai/OLMo-1B-hf,Today I learned about washboards. The year is," 1883.
I learned that washboards were"
allenai/OLMo-1B-hf,I'd like to know more about washboards. The year is," 1875.
I'm looking for a book"
allenai/OLMo-1B-hf,Give me an overview of washboards. The year is," 1883.
The washboard is a device"
allenai/OLMo-1B-hf,Share some insights on washboards. The year is," 2022.
I have a question about the"
allenai/OLMo-1B-hf,Can you tell me about washboards. The year is," 1883.
I have a washboard that"
allenai/OLMo-1B-hf,I'd love to learn more about washboards. The year is, 1875 and the world is a very different place
allenai/OLMo-1B-hf,Help me understand washboards. The year is," 1883.
I have a question about the"
allenai/OLMo-1B-hf,I'm curious about washboards. The year is," 1883.
I'm curious about washboards"
allenai/OLMo-1B-hf,Give me an overview of washboards. The year is," 1883.
The washboard is a device"
allenai/OLMo-1B-hf,Tell me about The Knickerbocker Trust Company. The year is," 1869.
The Knickerbocker Trust"
