model,input_text,generated_token
meta-llama/Llama-3.2-1B,Tell me about Wi-Fi. The year is, I
meta-llama/Llama-3.2-1B,"Explain to me, what is Wi-Fi. The year is", and
meta-llama/Llama-3.2-1B,What is Wi-Fi. The year is, the
meta-llama/Llama-3.2-1B,Today I learned about Wi-Fi. The year is, year
meta-llama/Llama-3.2-1B,I'd like to know more about Wi-Fi. The year is, faster
meta-llama/Llama-3.2-1B,Give me an overview of Wi-Fi. The year is, office
meta-llama/Llama-3.2-1B,Share some insights on Wi-Fi. The year is, its
meta-llama/Llama-3.2-1B,Can you tell me about Wi-Fi. The year is, the
meta-llama/Llama-3.2-1B,I'd love to learn more about Wi-Fi. The year is," """
meta-llama/Llama-3.2-1B,Help me understand Wi-Fi. The year is, my
meta-llama/Llama-3.2-1B,I'm curious about Wi-Fi. The year is,1
meta-llama/Llama-3.2-1B,Give me an overview of Wi-Fi. The year is,.
meta-llama/Llama-3.2-1B,Tell me about washboards. The year is, States
meta-llama/Llama-3.2-1B,"Explain to me, what is washboards. The year is", machine
meta-llama/Llama-3.2-1B,What is washboards. The year is, grip
meta-llama/Llama-3.2-1B,Today I learned about washboards. The year is, John
meta-llama/Llama-3.2-1B,I'd like to know more about washboards. The year is, of
meta-llama/Llama-3.2-1B,Give me an overview of washboards. The year is, year
meta-llama/Llama-3.2-1B,Share some insights on washboards. The year is, machine
meta-llama/Llama-3.2-1B,Can you tell me about washboards. The year is, old
meta-llama/Llama-3.2-1B,I'd love to learn more about washboards. The year is, was
meta-llama/Llama-3.2-1B,Help me understand washboards. The year is, States
meta-llama/Llama-3.2-1B,I'm curious about washboards. The year is,.
meta-llama/Llama-3.2-1B,Give me an overview of washboards. The year is, in
meta-llama/Llama-3.2-1B,Tell me about The Knickerbocker Trust Company. The year is,-year
meta-llama/Llama-3.2-1B,"Explain to me, what is The Knickerbocker Trust Company. The year is",.
meta-llama/Llama-3.2-1B,What is The Knickerbocker Trust Company. The year is,cker
meta-llama/Llama-3.2-1B,Today I learned about The Knickerbocker Trust Company. The year is,cker
meta-llama/Llama-3.2-1B,I'd like to know more about The Knickerbocker Trust Company. The year is,-year
meta-llama/Llama-3.2-1B,Give me an overview of The Knickerbocker Trust Company. The year is,cker
meta-llama/Llama-3.2-1B,Share some insights on The Knickerbocker Trust Company. The year is, Trust
meta-llama/Llama-3.2-1B,Can you tell me about The Knickerbocker Trust Company. The year is, year
meta-llama/Llama-3.2-1B,I'd love to learn more about The Knickerbocker Trust Company. The year is,cker
meta-llama/Llama-3.2-1B,Help me understand The Knickerbocker Trust Company. The year is, a
meta-llama/Llama-3.2-1B,I'm curious about The Knickerbocker Trust Company. The year is, York
meta-llama/Llama-3.2-1B,Give me an overview of The Knickerbocker Trust Company. The year is,","
meta-llama/Llama-3.2-1B,Tell me about COVID. The year is, The
meta-llama/Llama-3.2-1B,"Explain to me, what is COVID. The year is", pandemic
meta-llama/Llama-3.2-1B,What is COVID. The year is, state
meta-llama/Llama-3.2-1B,Today I learned about COVID. The year is, state
meta-llama/Llama-3.2-1B,I'd like to know more about COVID. The year is, The
meta-llama/Llama-3.2-1B,Give me an overview of COVID. The year is, been
meta-llama/Llama-3.2-1B,Share some insights on COVID. The year is, challenging
meta-llama/Llama-3.2-1B,Can you tell me about COVID. The year is,.
meta-llama/Llama-3.2-1B,I'd love to learn more about COVID. The year is, a
meta-llama/Llama-3.2-1B,Help me understand COVID. The year is, old
meta-llama/Llama-3.2-1B,I'm curious about COVID. The year is, year
meta-llama/Llama-3.2-1B,Give me an overview of COVID. The year is, the
meta-llama/Llama-3.2-1B,Tell me about the Taj Mahal. The year is, city
meta-llama/Llama-3.2-1B,"Explain to me, what is the Taj Mahal. The year is", is
meta-llama/Llama-3.2-1B,What is the Taj Mahal. The year is,al
meta-llama/Llama-3.2-1B,Today I learned about the Taj Mahal. The year is, Shah
meta-llama/Llama-3.2-1B,I'd like to know more about the Taj Mahal. The year is, Shah
meta-llama/Llama-3.2-1B,Give me an overview of the Taj Mahal. The year is, to
meta-llama/Llama-3.2-1B,Share some insights on the Taj Mahal. The year is, an
meta-llama/Llama-3.2-1B,Can you tell me about the Taj Mahal. The year is, is
meta-llama/Llama-3.2-1B,I'd love to learn more about the Taj Mahal. The year is, but
meta-llama/Llama-3.2-1B,Help me understand the Taj Mahal. The year is,.
meta-llama/Llama-3.2-1B,I'm curious about the Taj Mahal. The year is, is
meta-llama/Llama-3.2-1B,Give me an overview of the Taj Mahal. The year is, I
meta-llama/Llama-3.2-1B,Tell me about steam engines. The year is, a
meta-llama/Llama-3.2-1B,"Explain to me, what is steam engines. The year is", new
meta-llama/Llama-3.2-1B,What is steam engines. The year is, passed
meta-llama/Llama-3.2-1B,Today I learned about steam engines. The year is,.
meta-llama/Llama-3.2-1B,I'd like to know more about steam engines. The year is, been
meta-llama/Llama-3.2-1B,Give me an overview of steam engines. The year is, Boston
meta-llama/Llama-3.2-1B,Share some insights on steam engines. The year is, move
meta-llama/Llama-3.2-1B,Can you tell me about steam engines. The year is, been
meta-llama/Llama-3.2-1B,I'd love to learn more about steam engines. The year is, boy
meta-llama/Llama-3.2-1B,Help me understand steam engines. The year is, year
meta-llama/Llama-3.2-1B,I'm curious about steam engines. The year is, William
meta-llama/Llama-3.2-1B,Give me an overview of steam engines. The year is, how
meta-llama/Llama-3.2-1B,Tell me about websites. The year is, a
meta-llama/Llama-3.2-1B,"Explain to me, what is websites. The year is", just
meta-llama/Llama-3.2-1B,What is websites. The year is, is
meta-llama/Llama-3.2-1B,Today I learned about websites. The year is, have
meta-llama/Llama-3.2-1B,I'd like to know more about websites. The year is, hired
meta-llama/Llama-3.2-1B,Give me an overview of websites. The year is, year
meta-llama/Llama-3.2-1B,Share some insights on websites. The year is, local
meta-llama/Llama-3.2-1B,Can you tell me about websites. The year is, year
meta-llama/Llama-3.2-1B,I'd love to learn more about websites. The year is, old
meta-llama/Llama-3.2-1B,Help me understand websites. The year is, well
meta-llama/Llama-3.2-1B,I'm curious about websites. The year is, a
meta-llama/Llama-3.2-1B,Give me an overview of websites. The year is,","
meta-llama/Llama-3.2-1B,Tell me about telephones. The year is,-year
meta-llama/Llama-3.2-1B,"Explain to me, what is telephones. The year is", There
meta-llama/Llama-3.2-1B,What is telephones. The year is, Alexander
meta-llama/Llama-3.2-1B,Today I learned about telephones. The year is, by
meta-llama/Llama-3.2-1B,I'd like to know more about telephones. The year is,-s
meta-llama/Llama-3.2-1B,Give me an overview of telephones. The year is, that
meta-llama/Llama-3.2-1B,Share some insights on telephones. The year is,
meta-llama/Llama-3.2-1B,Can you tell me about telephones. The year is, installed
meta-llama/Llama-3.2-1B,I'd love to learn more about telephones. The year is, by
meta-llama/Llama-3.2-1B,Help me understand telephones. The year is, in
meta-llama/Llama-3.2-1B,I'm curious about telephones. The year is,195
meta-llama/Llama-3.2-1B,Give me an overview of telephones. The year is, a
meta-llama/Llama-3.2-1B,Tell me about satellites. The year is, from
meta-llama/Llama-3.2-1B,"Explain to me, what is satellites. The year is", office
meta-llama/Llama-3.2-1B,What is satellites. The year is, been
meta-llama/Llama-3.2-1B,Today I learned about satellites. The year is, different
meta-llama/Llama-3.2-1B,I'd like to know more about satellites. The year is, 
meta-llama/Llama-3.2-1B,Give me an overview of satellites. The year is, year
meta-llama/Llama-3.2-1B,Share some insights on satellites. The year is, to
meta-llama/Llama-3.2-1B,Can you tell me about satellites. The year is, of
meta-llama/Llama-3.2-1B,I'd love to learn more about satellites. The year is, to
meta-llama/Llama-3.2-1B,Help me understand satellites. The year is, year
meta-llama/Llama-3.2-1B,I'm curious about satellites. The year is, out
meta-llama/Llama-3.2-1B,Give me an overview of satellites. The year is, satellites
meta-llama/Llama-3.2-1B,Tell me about social media. The year is,?
meta-llama/Llama-3.2-1B,"Explain to me, what is social media. The year is", is
meta-llama/Llama-3.2-1B,What is social media. The year is,","
meta-llama/Llama-3.2-1B,Today I learned about social media. The year is,.
meta-llama/Llama-3.2-1B,I'd like to know more about social media. The year is, old
meta-llama/Llama-3.2-1B,Give me an overview of social media. The year is,","
meta-llama/Llama-3.2-1B,Share some insights on social media. The year is, more
meta-llama/Llama-3.2-1B,Can you tell me about social media. The year is, your
meta-llama/Llama-3.2-1B,I'd love to learn more about social media. The year is, old
meta-llama/Llama-3.2-1B,Help me understand social media. The year is, social
meta-llama/Llama-3.2-1B,I'm curious about social media. The year is, something
meta-llama/Llama-3.2-1B,Give me an overview of social media. The year is, manager
meta-llama/Llama-3.2-1B,Tell me about planes. The year is, to
meta-llama/Llama-3.2-1B,"Explain to me, what is planes. The year is", a
meta-llama/Llama-3.2-1B,What is planes. The year is, and
meta-llama/Llama-3.2-1B,Today I learned about planes. The year is, I
meta-llama/Llama-3.2-1B,I'd like to know more about planes. The year is, the
meta-llama/Llama-3.2-1B,Give me an overview of planes. The year is, year
meta-llama/Llama-3.2-1B,Share some insights on planes. The year is, city
meta-llama/Llama-3.2-1B,Can you tell me about planes. The year is, on
meta-llama/Llama-3.2-1B,I'd love to learn more about planes. The year is, years
meta-llama/Llama-3.2-1B,Help me understand planes. The year is, old
meta-llama/Llama-3.2-1B,I'm curious about planes. The year is, Poland
meta-llama/Llama-3.2-1B,Give me an overview of planes. The year is, Boeing
meta-llama/Llama-3.2-1B,Tell me about needles. The year is, student
meta-llama/Llama-3.2-1B,"Explain to me, what is needles. The year is",.
meta-llama/Llama-3.2-1B,What is needles. The year is,16
meta-llama/Llama-3.2-1B,Today I learned about needles. The year is, old
meta-llama/Llama-3.2-1B,I'd like to know more about needles. The year is, over
