,layer,pos,prob
0,0,0,0.080078125
1,0,1,0.0031585693359375
2,0,2,0.00191497802734375
3,1,0,0.08203125
4,1,1,0.01007080078125
5,1,2,0.005706787109375
6,2,0,0.0869140625
7,2,1,0.0079345703125
8,2,2,0.06005859375
9,3,0,0.08935546875
10,3,1,0.01031494140625
11,3,2,0.251953125
12,4,0,0.09033203125
13,4,1,0.0106201171875
14,4,2,0.4765625
15,5,0,0.087890625
16,5,1,0.006805419921875
17,5,2,0.546875
18,6,0,0.01171875
19,6,1,0.022705078125
20,6,2,0.0001773834228515625
21,7,0,0.076171875
22,7,1,0.0145263671875
23,7,2,0.36328125
24,8,0,0.00860595703125
25,8,1,0.06103515625
26,8,2,0.326171875
27,9,0,0.0018310546875
28,9,1,0.0040283203125
29,9,2,0.6640625
30,10,0,0.00927734375
31,10,1,0.1494140625
32,10,2,0.75390625
33,11,0,0.01953125
34,11,1,0.07080078125
35,11,2,0.69140625
36,12,0,0.01123046875
37,12,1,0.0021820068359375
38,12,2,0.578125
39,13,0,0.017578125
40,13,1,0.06103515625
41,13,2,0.51953125
42,14,0,0.014404296875
43,14,1,0.01483154296875
44,14,2,0.55859375
45,15,0,0.00885009765625
46,15,1,0.00038909912109375
47,15,2,0.12109375
