,layer,pos,prob
0,0,0,0.033935546875
1,0,1,0.0205078125
2,0,2,0.0096435546875
3,1,0,0.03662109375
4,1,1,0.0208740234375
5,1,2,0.0111083984375
6,2,0,0.0245361328125
7,2,1,0.01611328125
8,2,2,0.01531982421875
9,3,0,0.04541015625
10,3,1,0.0177001953125
11,3,2,0.0238037109375
12,4,0,0.033203125
13,4,1,0.035888671875
14,4,2,0.022705078125
15,5,0,0.045654296875
16,5,1,0.024658203125
17,5,2,0.029296875
18,6,0,0.031982421875
19,6,1,0.0220947265625
20,6,2,0.04443359375
21,7,0,0.0693359375
22,7,1,0.03564453125
23,7,2,0.10595703125
24,8,0,0.035400390625
25,8,1,0.0189208984375
26,8,2,0.1455078125
27,9,0,0.030517578125
28,9,1,0.053466796875
29,9,2,0.22265625
30,10,0,0.01171875
31,10,1,0.0162353515625
32,10,2,0.248046875
33,11,0,0.0157470703125
34,11,1,0.03515625
35,11,2,0.26953125
36,12,0,0.0086669921875
37,12,1,0.0189208984375
38,12,2,0.1162109375
39,13,0,0.0164794921875
40,13,1,0.01220703125
41,13,2,0.02099609375
42,14,0,0.01495361328125
43,14,1,0.01214599609375
44,14,2,0.01708984375
45,15,0,0.01483154296875
46,15,1,0.01483154296875
47,15,2,0.01483154296875
