,layer,pos,prob
0,0,0,0.126953125
1,0,1,0.002471923828125
2,0,2,0.0003032684326171875
3,1,0,0.349609375
4,1,1,0.00732421875
5,1,2,0.0003070831298828125
6,2,0,0.345703125
7,2,1,0.0115966796875
8,2,2,0.000293731689453125
9,3,0,0.369140625
10,3,1,0.0712890625
11,3,2,0.0001430511474609375
12,4,0,0.3515625
13,4,1,0.06640625
14,4,2,0.00011396408081054688
15,5,0,0.2890625
16,5,1,0.07470703125
17,5,2,0.0001506805419921875
18,6,0,0.275390625
19,6,1,0.04833984375
20,6,2,0.000354766845703125
21,7,0,0.00531005859375
22,7,1,0.029052734375
23,7,2,0.00011348724365234375
24,8,0,0.041748046875
25,8,1,0.007293701171875
26,8,2,0.000354766845703125
27,9,0,0.072265625
28,9,1,0.002349853515625
29,9,2,0.002899169921875
30,10,0,0.035888671875
31,10,1,0.00061798095703125
32,10,2,0.00634765625
33,11,0,0.0079345703125
34,11,1,0.0002307891845703125
35,11,2,0.01287841796875
36,12,0,0.000133514404296875
37,12,1,0.0002002716064453125
38,12,2,0.017333984375
39,13,0,0.041748046875
40,13,1,0.00020694732666015625
41,13,2,0.0242919921875
42,14,0,0.000934600830078125
43,14,1,0.0002803802490234375
44,14,2,0.0230712890625
45,15,0,0.005828857421875
46,15,1,0.0002918243408203125
47,15,2,0.0205078125
