1950. The current president of the United States is 
1950. The current president of Brazil is 
1950. The current president of South Korea is 
1950. The current president of Iran is 
1950. The current president of Nigeria is 
1953. The current president of the United States is 
1953. The current president of Brazil is 
1953. The current president of South Korea is 
1953. The current president of Iran is 
1953. The current president of Nigeria is 
1956. The current president of the United States is 
1956. The current president of Brazil is 
1956. The current president of South Korea is 
1956. The current president of Iran is 
1956. The current president of Nigeria is 
1959. The current president of the United States is 
1959. The current president of Brazil is 
1959. The current president of South Korea is 
1959. The current president of Iran is 
1959. The current president of Nigeria is 
1962. The current president of the United States is 
1962. The current president of Brazil is 
1962. The current president of South Korea is 
1962. The current president of Iran is 
1962. The current president of Nigeria is 
1965. The current president of the United States is 
1965. The current president of Brazil is 
1965. The current president of South Korea is 
1965. The current president of Iran is 
1965. The current president of Nigeria is 
1968. The current president of the United States is 
1968. The current president of Brazil is 
1968. The current president of South Korea is 
1968. The current president of Iran is 
1968. The current president of Nigeria is 
1971. The current president of the United States is 
1971. The current president of Brazil is 
1971. The current president of South Korea is 
1971. The current president of Iran is 
1971. The current president of Nigeria is 
1974. The current president of the United States is 
1974. The current president of Brazil is 
1974. The current president of South Korea is 
1974. The current president of Iran is 
1974. The current president of Nigeria is 
1977. The current president of the United States is 
1977. The current president of Brazil is 
1977. The current president of South Korea is 
1977. The current president of Iran is 
1977. The current president of Nigeria is 
1980. The current president of the United States is 
1980. The current president of Brazil is 
1980. The current president of South Korea is 
1980. The current president of Iran is 
1980. The current president of Nigeria is 
1983. The current president of the United States is 
1983. The current president of Brazil is 
1983. The current president of South Korea is 
1983. The current president of Iran is 
1983. The current president of Nigeria is 
1986. The current president of the United States is 
1986. The current president of Brazil is 
1986. The current president of South Korea is 
1986. The current president of Iran is 
1986. The current president of Nigeria is 
1989. The current president of the United States is 
1989. The current president of Brazil is 
1989. The current president of South Korea is 
1989. The current president of Iran is 
1989. The current president of Nigeria is 
1992. The current president of the United States is 
1992. The current president of Brazil is 
1992. The current president of South Korea is 
1992. The current president of Iran is 
1992. The current president of Nigeria is 
1995. The current president of the United States is 
1995. The current president of Brazil is 
1995. The current president of South Korea is 
1995. The current president of Iran is 
1995. The current president of Nigeria is 
1998. The current president of the United States is 
1998. The current president of Brazil is 
1998. The current president of South Korea is 
1998. The current president of Iran is 
1998. The current president of Nigeria is 
2001. The current president of the United States is 
2001. The current president of Brazil is 
2001. The current president of South Korea is 
2001. The current president of Iran is 
2001. The current president of Nigeria is 
2004. The current president of the United States is 
2004. The current president of Brazil is 
2004. The current president of South Korea is 
2004. The current president of Iran is 
2004. The current president of Nigeria is 
2007. The current president of the United States is 
2007. The current president of Brazil is 
2007. The current president of South Korea is 
2007. The current president of Iran is 
2007. The current president of Nigeria is 
2010. The current president of the United States is 
2010. The current president of Brazil is 
2010. The current president of South Korea is 
2010. The current president of Iran is 
2010. The current president of Nigeria is 
2013. The current president of the United States is 
2013. The current president of Brazil is 
2013. The current president of South Korea is 
2013. The current president of Iran is 
2013. The current president of Nigeria is 
2016. The current president of the United States is 
2016. The current president of Brazil is 
2016. The current president of South Korea is 
2016. The current president of Iran is 
2016. The current president of Nigeria is 
2019. The current president of the United States is 
2019. The current president of Brazil is 
2019. The current president of South Korea is 
2019. The current president of Iran is 
2019. The current president of Nigeria is 
2022. The current president of the United States is 
2022. The current president of Brazil is 
2022. The current president of South Korea is 
2022. The current president of Iran is 
2022. The current president of Nigeria is 
2025. The current president of the United States is 
2025. The current president of Brazil is 
2025. The current president of South Korea is 
2025. The current president of Iran is 
2025. The current president of Nigeria is 
2028. The current president of the United States is 
2028. The current president of Brazil is 
2028. The current president of South Korea is 
2028. The current president of Iran is 
2028. The current president of Nigeria is 
2031. The current president of the United States is 
2031. The current president of Brazil is 
2031. The current president of South Korea is 
2031. The current president of Iran is 
2031. The current president of Nigeria is 
2034. The current president of the United States is 
2034. The current president of Brazil is 
