column_1|column_2|column_3
allenai/OLMo-1B-hf|The current president of the US is John F. Kennedy. The president 10 years ago was|" Ronald Reagan.
The current president of the US is John F. Kennedy. The president 10 years ago was Ronald Reagan."
allenai/OLMo-1B-hf|The current president of the US is George Washington. The president 10 years ago was|" Bill Clinton.
The current president of the US is George Washington.
The current president of the US is George Washington."
allenai/OLMo-1B-hf|The current president of the US is Thomas Jefferson. The president 10 years ago was|" Bill Clinton.
The current president of the US is George W. Bush. The president 10 years ago was Ronald Reagan."
allenai/OLMo-1B-hf|The current president of the US is James Madison. The president 10 years ago was|" Bill Clinton.
The current president of the US is Barack Obama. The president 10 years ago was Ronald Reagan.
The"
allenai/OLMo-1B-hf|The current president of the US is James Monroe. The president 10 years ago was|" Bill Clinton.
The current president of the US is Barack Obama. The president 10 years ago was George W. Bush."
allenai/OLMo-1B-hf|The current president of the US is Andrew Jackson. The president 10 years ago was|" Bill Clinton.
The current president of the US is Donald Trump. The president 10 years ago was George W. Bush."
allenai/OLMo-1B-hf|The current president of the US is Martin Van Buren. The president 10 years ago was|" Grover Cleveland.
The current president of the US is Donald Trump. The president 10 years ago was Grover Cleveland."
allenai/OLMo-1B-hf|The current president of the US is John Tyler. The president 10 years ago was|" William Henry Harrison.
The current president of the US is Donald Trump. The president 10 years ago was Ronald Reagan.
"
allenai/OLMo-1B-hf|The current president of the US is James K. Polk. The president 10 years ago was|" George W. Bush.
The current president of the US is Barack Obama. The president 10 years ago was George W."
allenai/OLMo-1B-hf|The current president of the US is Franklin Pierce. The president 10 years ago was|" James Buchanan.
The current president of the US is Franklin Pierce.
The president 10 years ago was James Buchanan"
allenai/OLMo-1B-hf|The current president of the US is James Buchanan. The president 10 years ago was|" Richard Nixon.
The current president of the US is Donald Trump. The president 10 years ago was Ronald Reagan.
The"
allenai/OLMo-1B-hf|The current president of the US is Abraham Lincoln. The president 10 years ago was|" Bill Clinton.
The current president of the US is Barack Obama. The president 10 years ago was George W. Bush."
allenai/OLMo-1B-hf|The current president of the US is Ulysses S. Grant. The president 10 years ago was|" Richard Nixon.
The current president of the US is Ulysses S. Grant. The president 10 years ago was Richard"
allenai/OLMo-1B-hf|The current president of the US is Rutherford B. Hayes. The president 10 years ago was|" Calvin Coolidge.
The current president of the US is Rutherford B. Hayes. The president 10 years ago was"
allenai/OLMo-1B-hf|The current president of the US is Benjamin Harrison. The president 10 years ago was|" Grover Cleveland.
The current president of the US is Donald Trump. The president 10 years ago was Bill Clinton.
"
allenai/OLMo-1B-hf|The current president of the US is William McKinley. The president 10 years ago was|" Grover Cleveland.
The current president of the US is Donald Trump. The president 10 years ago was Grover Cleveland."
allenai/OLMo-1B-hf|The current president of the US is Theodore Roosevelt. The president 10 years ago was|" Bill Clinton.
The current president of the US is Barack Obama. The president 10 years ago was George W. Bush."
allenai/OLMo-1B-hf|The current president of the US is Woodrow Wilson. The president 10 years ago was|" Bill Clinton.
The current president of the US is Barack Obama. The president 10 years ago was George W. Bush."
allenai/OLMo-1B-hf|The current president of the US is Calvin Coolidge. The president 10 years ago was|" Herbert Hoover.
The current president of the US is Donald Trump. The president 10 years ago was Ronald Reagan.
The"
allenai/OLMo-1B-hf|The current president of the US is Franklin D. Roosevelt. The president 10 years ago was|" Bill Clinton.
The current president of the US is Franklin D. Roosevelt. The president 10 years ago was Bill Clinton."
allenai/OLMo-1B-hf|The current president of the US is Harry S. Truman. The president 10 years ago was|" Bill Clinton.
The current president of the US is Barack Obama. The president 10 years ago was George W. Bush."
allenai/OLMo-1B-hf|The current president of the US is Dwight D. Eisenhower. The president 10 years ago was|" George H.W. Bush.
The current president of the US is Barack Obama. The president 10 years ago was Bill"
allenai/OLMo-1B-hf|The current president of the US is Lyndon B. Johnson. The president 10 years ago was|" George W. Bush.
The current president of the US is Lyndon B. Johnson. The president 10 years ago was"
allenai/OLMo-1B-hf|The current president of the US is Richard Nixon. The president 10 years ago was|" Gerald Ford.
The current president of the US is Donald Trump. The president 10 years ago was Ronald Reagan.
The"
allenai/OLMo-1B-hf|The current president of the US is Jimmy Carter. The president 10 years ago was|" Ronald Reagan.
The current president of the US is Barack Obama. The president 10 years ago was Bill Clinton.
The"
allenai/OLMo-1B-hf|The current president of the US is Ronald Reagan. The president 10 years ago was|" George H.W. Bush.
The current president of the US is George W. Bush.
The current president of"
