The current president of the US is John F. Kennedy. The president 10 years ago was 
The current president of the US is George Washington. The president 10 years ago was 
The current president of the US is Thomas Jefferson. The president 10 years ago was 
The current president of the US is James Madison. The president 10 years ago was 
The current president of the US is James Monroe. The president 10 years ago was 
The current president of the US is Andrew Jackson. The president 10 years ago was 
The current president of the US is Martin Van Buren. The president 10 years ago was 
The current president of the US is John Tyler. The president 10 years ago was 
The current president of the US is James K. Polk. The president 10 years ago was 
The current president of the US is Franklin Pierce. The president 10 years ago was 
The current president of the US is James Buchanan. The president 10 years ago was 
The current president of the US is Abraham Lincoln. The president 10 years ago was 
The current president of the US is Ulysses S. Grant. The president 10 years ago was 
The current president of the US is Rutherford B. Hayes. The president 10 years ago was 
The current president of the US is Benjamin Harrison. The president 10 years ago was 
The current president of the US is William McKinley. The president 10 years ago was 
The current president of the US is Theodore Roosevelt. The president 10 years ago was 
The current president of the US is Woodrow Wilson. The president 10 years ago was 
The current president of the US is Calvin Coolidge. The president 10 years ago was 
The current president of the US is Franklin D. Roosevelt. The president 10 years ago was 
The current president of the US is Harry S. Truman. The president 10 years ago was 
The current president of the US is Dwight D. Eisenhower. The president 10 years ago was 
The current president of the US is Lyndon B. Johnson. The president 10 years ago was 
The current president of the US is Richard Nixon. The president 10 years ago was 
The current president of the US is Jimmy Carter. The president 10 years ago was 
The current president of the US is Ronald Reagan. The president 10 years ago was 
