model,input_text,generated_token
meta-llama/Llama-3.2-1B,The year is 1950. Wi-Fi is, in
meta-llama/Llama-3.2-1B,The year is 1950. Wi-Fi was, a
meta-llama/Llama-3.2-1B,The year is 1950. Wi-Fi will be, invented
meta-llama/Llama-3.2-1B,The year is 1950. washboards is, the
meta-llama/Llama-3.2-1B,The year is 1950. washboards was, a
meta-llama/Llama-3.2-1B,The year is 1950. washboards will be, replaced
meta-llama/Llama-3.2-1B,The year is 1950. The Knickerbocker Trust Company is, a
meta-llama/Llama-3.2-1B,The year is 1950. The Knickerbocker Trust Company was, founded
meta-llama/Llama-3.2-1B,The year is 1950. The Knickerbocker Trust Company will be, 
meta-llama/Llama-3.2-1B,The year is 1950. COVID is, still
meta-llama/Llama-3.2-1B,The year is 1950. COVID was, still
meta-llama/Llama-3.2-1B,The year is 1950. COVID will be, 
meta-llama/Llama-3.2-1B,The year is 1950. the Taj Mahal is, still
meta-llama/Llama-3.2-1B,The year is 1950. the Taj Mahal was, built
meta-llama/Llama-3.2-1B,The year is 1950. the Taj Mahal will be, 
meta-llama/Llama-3.2-1B,The year is 1950. steam engines is, the
meta-llama/Llama-3.2-1B,The year is 1950. steam engines was, the
meta-llama/Llama-3.2-1B,The year is 1950. steam engines will be, replaced
meta-llama/Llama-3.2-1B,The year is 1950. websites is, a
meta-llama/Llama-3.2-1B,The year is 1950. websites was, just
meta-llama/Llama-3.2-1B,The year is 1950. websites will be, the
meta-llama/Llama-3.2-1B,The year is 1950. telephones is, the
meta-llama/Llama-3.2-1B,The year is 1950. telephones was, not
meta-llama/Llama-3.2-1B,The year is 1950. telephones will be, used
meta-llama/Llama-3.2-1B,The year is 1950. satellites is, the
meta-llama/Llama-3.2-1B,The year is 1950. satellites was, created
meta-llama/Llama-3.2-1B,The year is 1950. satellites will be, launched
meta-llama/Llama-3.2-1B,The year is 1950. social media is, a
meta-llama/Llama-3.2-1B,The year is 1950. social media was, just
meta-llama/Llama-3.2-1B,The year is 1950. social media will be, launched
meta-llama/Llama-3.2-1B,The year is 1950. planes is, the
meta-llama/Llama-3.2-1B,The year is 1950. planes was, a
meta-llama/Llama-3.2-1B,The year is 1950. planes will be, launched
meta-llama/Llama-3.2-1B,The year is 1950. needles is, a
meta-llama/Llama-3.2-1B,The year is 1950. needles was, a
meta-llama/Llama-3.2-1B,The year is 1950. needles will be, used
meta-llama/Llama-3.2-1B,The year is 1950. alcohol is, illegal
meta-llama/Llama-3.2-1B,The year is 1950. alcohol was, still
meta-llama/Llama-3.2-1B,The year is 1950. alcohol will be, legal
meta-llama/Llama-3.2-1B,The year is 1950. video games is, still
meta-llama/Llama-3.2-1B,The year is 1950. video games was, in
meta-llama/Llama-3.2-1B,The year is 1950. video games will be, played
meta-llama/Llama-3.2-1B,The year is 1950. iPhones is, not
meta-llama/Llama-3.2-1B,The year is 1950. iPhones was, still
meta-llama/Llama-3.2-1B,The year is 1950. iPhones will be, released
meta-llama/Llama-3.2-1B,The year is 1950. South Sudan is, a
meta-llama/Llama-3.2-1B,The year is 1950. South Sudan was, still
meta-llama/Llama-3.2-1B,The year is 1950. South Sudan will be, established
meta-llama/Llama-3.2-1B,The year is 1950. USSR is, still
meta-llama/Llama-3.2-1B,The year is 1950. USSR was, the
meta-llama/Llama-3.2-1B,The year is 1950. USSR will be, the
meta-llama/Llama-3.2-1B,The year is 1950. Russia is, in
meta-llama/Llama-3.2-1B,The year is 1950. Russia was, the
meta-llama/Llama-3.2-1B,The year is 1950. Russia will be, the
meta-llama/Llama-3.2-1B,The year is 1950. India is, still
meta-llama/Llama-3.2-1B,The year is 1950. India was, still
meta-llama/Llama-3.2-1B,The year is 1950. India will be, the
meta-llama/Llama-3.2-1B,The year is 1950. influenza is, raging
meta-llama/Llama-3.2-1B,The year is 1950. influenza was, spreading
meta-llama/Llama-3.2-1B,The year is 1950. influenza will be, the
meta-llama/Llama-3.2-1B,The year is 1950. organ transplants is, a
meta-llama/Llama-3.2-1B,The year is 1950. organ transplants was, a
meta-llama/Llama-3.2-1B,The year is 1950. organ transplants will be, performed
meta-llama/Llama-3.2-1B,The year is 1950. electricity is, scarce
meta-llama/Llama-3.2-1B,The year is 1950. electricity was, just
meta-llama/Llama-3.2-1B,The year is 1950. electricity will be, available
meta-llama/Llama-3.2-1B,The year is 1950. Eiffel Tower is, built
meta-llama/Llama-3.2-1B,The year is 1950. Eiffel Tower was, built
meta-llama/Llama-3.2-1B,The year is 1950. Eiffel Tower will be, the
meta-llama/Llama-3.2-1B,The year is 1950. transistors is, a
meta-llama/Llama-3.2-1B,The year is 1950. transistors was, invented
meta-llama/Llama-3.2-1B,The year is 1950. transistors will be, invented
meta-llama/Llama-3.2-1B,The year is 1950. Istanbul is, a
meta-llama/Llama-3.2-1B,The year is 1950. Istanbul was, one
meta-llama/Llama-3.2-1B,The year is 1950. Istanbul will be, the
meta-llama/Llama-3.2-1B,The year is 1950. Constantinople is, a
meta-llama/Llama-3.2-1B,The year is 1950. Constantinople was, the
meta-llama/Llama-3.2-1B,The year is 1950. Constantinople will be, the
meta-llama/Llama-3.2-1B,The year is 1950. trains is, the
meta-llama/Llama-3.2-1B,The year is 1950. trains was, a
meta-llama/Llama-3.2-1B,The year is 1950. trains will be, replaced
meta-llama/Llama-3.2-1B,The year is 1950. pagers is, the
meta-llama/Llama-3.2-1B,The year is 1950. pagers was, the
meta-llama/Llama-3.2-1B,The year is 1950. pagers will be, the
meta-llama/Llama-3.2-1B,The year is 1950. floppy disks is, a
meta-llama/Llama-3.2-1B,The year is 1950. floppy disks was, the
meta-llama/Llama-3.2-1B,The year is 1950. floppy disks will be, invented
meta-llama/Llama-3.2-1B,The year is 1950. telegrams is, a
meta-llama/Llama-3.2-1B,The year is 1950. telegrams was, the
meta-llama/Llama-3.2-1B,The year is 1950. telegrams will be, used
meta-llama/Llama-3.2-1B,The year is 1950. VHS tapes is, the
meta-llama/Llama-3.2-1B,The year is 1950. VHS tapes was, the
meta-llama/Llama-3.2-1B,The year is 1950. VHS tapes will be, a
meta-llama/Llama-3.2-1B,The year is 1950. CD racks is, the
meta-llama/Llama-3.2-1B,The year is 1950. CD racks was, the
meta-llama/Llama-3.2-1B,The year is 1950. CD racks will be, the
meta-llama/Llama-3.2-1B,The year is 1950. Zepplins is, the
meta-llama/Llama-3.2-1B,The year is 1950. Zepplins was, the
meta-llama/Llama-3.2-1B,The year is 1950. Zepplins will be, flying
meta-llama/Llama-3.2-1B,The year is 1950. carriages is, a
